"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"56","8","Reactome Pathways","","Complement cascade","3.3E-6","CFP|FCN3|FCN2|COLEC10|CPN1|PROS1|COLEC11|C1R","17100","4341|4302|4301|4436|4443|4304|4433|4439","","HSA-166658","0"
"21","6","Reactome Pathways","","Initial triggering of complement","3.73E-6","CFP|FCN3|FCN2|COLEC10|COLEC11|C1R","17100","4341|4302|4301|4436|4433|4439","","HSA-166663","0"
"1925","34","Reactome Pathways","","Immune System","4.78E-6","CD4|TNFRSF1A|HMOX1|CAT|CFP|BTBD1|FCN3|FCN2|ANPEP|FGB|FOS|CALR|SOCS3|COLEC10|HBB|UBA1|IFI6|HLA-DRB1|ADAR|CPN1|PGM1|CAP1|XDH|SQSTM1|PROS1|SEC31A|PLAC8|COLEC11|CXCL2|C1R|AKT1|TXNIP|FPR1|GHR","17100","4460|4420|4352|4426|4341|4349|4302|4301|4311|4407|4415|4375|4345|4436|4386|4373|4442|4378|4388|4443|4406|4408|4450|4329|4304|4358|4342|4433|4391|4439|4312|4323|4339|4394","","HSA-168256","0"
"1813","33","UniProt Keywords","","Secreted","5.86E-6","DCN|TNFRSF1A|CETP|OXT|F9|APOA1|CFP|KLKB1|HPX|FCN3|CRHBP|FCN2|FGB|CALR|COLEC10|ADAMTSL2|CNDP1|ECM1|CPN1|XDH|IGFBP3|DBH|PROS1|MFAP4|APOF|COLEC11|ITIH3|IGFALS|CXCL2|C1R|GDF2|HAMP|GHR","17100","4418|4420|4336|4387|4423|4411|4341|4465|4346|4302|4309|4301|4407|4375|4436|4397|4307|4382|4443|4450|4315|4389|4304|4459|4351|4433|4435|4324|4391|4439|4362|4376|4394","","KW-0964","0"
"3276","46","UniProt Keywords","","Disulfide bond","6.19E-6","CD4|DCN|TNFRSF1A|CETP|OXT|F9|RAMP3|CFP|LYVE1|KLKB1|ITGA9|HPX|FCN3|CRHBP|FCN2|CLEC1B|AVPR1A|ANPEP|FGB|CES2|CALR|LPA|COLEC10|GANAB|ADAMTSL2|HLA-DRB1|CPN1|SRPX|XDH|IGFBP3|PRKAR1A|DBH|PROS1|PLXNB2|COLEC11|CXCL2|LY6E|C1R|AKT1|LDLR|TXNIP|GDF2|FPR1|HAMP|LSR|GHR","17100","4460|4418|4420|4336|4387|4423|4437|4341|4456|4465|4431|4346|4302|4309|4301|4402|4414|4311|4407|4330|4375|4326|4436|4444|4397|4378|4443|4379|4450|4315|4322|4389|4304|4372|4433|4391|4332|4439|4312|4449|4323|4362|4339|4376|4412|4394","","KW-1015","0"
"2672","42","GO Process","","cellular response to chemical stimulus","8.52E-6","CD4|DCN|TNFRSF1A|HMOX1|CYP26A1|CAT|RAMP3|HBA2|ITGA9|CRHBP|BAX|LAPTM5|AVPR1A|FGB|FOS|MT1E|TLN1|CES2|CALR|ZYX|SOCS3|HBB|CYP1A2|IFI6|HLA-DRB1|FMO3|ADAR|PHGDH|CYP2C8|ASS1|SQSTM1|PRKAR1A|SEC31A|CXCL2|AKT1|LDLR|GDF2|ZFP36|FPR1|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4366|4426|4437|4413|4431|4309|4463|4454|4414|4407|4415|4333|4328|4330|4375|4462|4345|4386|4371|4442|4378|4455|4388|4400|4368|4457|4329|4322|4358|4391|4312|4449|4362|4310|4339|4376|4440|4394","","GO.0070887","0"
"13","5","Reactome Pathways","","Creation of C4 and C2 activators","9.31E-6","FCN3|FCN2|COLEC10|COLEC11|C1R","17100","4302|4301|4436|4433|4439","","HSA-166786","0"
"825","22","GO Process","","response to lipid","9.34E-6","CD4|DCN|TNFRSF1A|OXT|CYP26A1|CAT|RAMP3|CRHBP|AVPR1A|FOS|CALR|CYP1A2|CPN1|ASS1|MBD3|CXCL2|AKT1|LDLR|TXNIP|ZFP36|HAMP|GHR","17100","4460|4418|4420|4387|4366|4426|4437|4309|4414|4415|4375|4371|4443|4457|4451|4391|4312|4449|4323|4310|4376|4394","","GO.0033993","0"
"19","5","GO Component","","endocytic vesicle lumen","1.29E-5","APOA1|HBA2|HPX|CALR|HBB","17100","4411|4413|4346|4375|4386","","GO.0071682","0"
"9569","91","GO Process","","metabolic process","1.47E-5","DCN|TNFRSF1A|CETP|HMOX1|F9|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RAMP3|RNF11|CFP|HBA2|DMGDH|LYVE1|SDS|LRPPRC|BTBD1|KLKB1|HPX|FCN3|CERS2|CRHBP|FTCD|FCN2|BAX|CLEC1B|AVPR1A|LDHD|ANPEP|UBTF|FGB|FOS|CES2|CALR|LPA|SOCS3|COLEC10|HBB|UBA1|GANAB|CYP1A2|ADAMTSL2|CNDP1|ETS2|MRPL24|GUK1|FMO3|ADAR|MRPL9|APH1A|PHGDH|BCAS2|DUSP5|CPN1|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|STK40|RPRD1B|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|DBH|GNE|APOF|DNTTIP2|COLEC11|MBD3|ITIH3|IGFALS|AADAT|ADH1C|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|POLRMT|ZFP36|SRRT|GHR|HAO2","17100","4418|4420|4336|4352|4423|4366|4425|4464|4411|4426|4437|4381|4341|4413|4300|4456|4314|4458|4349|4465|4346|4302|4432|4309|4392|4301|4463|4402|4414|4350|4311|4398|4407|4415|4330|4375|4326|4345|4436|4386|4373|4444|4371|4397|4307|4308|4363|4396|4455|4388|4401|4343|4400|4405|4409|4443|4406|4368|4384|4410|4457|4430|4354|4370|4379|4450|4315|4335|4329|4305|4389|4334|4351|4316|4433|4451|4435|4324|4453|4438|4447|4439|4312|4449|4323|4362|4317|4310|4440|4394|4357","","GO.0008152","0"
"3799","49","UniProt Keywords","","Disease","1.75E-5","DCN|TNFRSF1A|CETP|F9|EHHADH|APOA1|CFP|DMGDH|LRPPRC|KLKB1|FTCD|BAX|UBTF|FGB|FOS|LPA|SLC25A20|COLEC10|HBB|UBA1|GANAB|ADAMTSL2|ETS2|FMO3|ADAR|ECM1|PHGDH|CPN1|PGM1|ASS1|TDP2|XDH|SQSTM1|PRKAR1A|DBH|PROS1|SEC31A|GNE|MCFD2|COLEC11|IGFALS|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|HAMP|GHR","17100","4418|4420|4336|4423|4425|4411|4341|4300|4458|4465|4392|4463|4398|4407|4415|4326|4448|4436|4386|4373|4444|4397|4308|4455|4388|4382|4400|4443|4406|4457|4370|4450|4329|4322|4389|4304|4358|4334|4380|4433|4324|4447|4439|4312|4449|4323|4362|4376|4394","","KW-9995","0"
"3237","44","UniProt Keywords","","Signal","1.82E-5","CD4|DCN|TNFRSF1A|CETP|OXT|F9|APOA1|RAMP3|CFP|LYVE1|KLKB1|ITGA9|HPX|FCN3|CRHBP|FCN2|FGB|CES2|CALR|LPA|COLEC10|GANAB|ADAMTSL2|CNDP1|HLA-DRB1|ECM1|CPN1|SRPX|IGFBP3|PROS1|MFAP4|APOF|MCFD2|PLXNB2|COLEC11|ITIH3|IGFALS|CXCL2|LY6E|C1R|LDLR|GDF2|HAMP|GHR","17100","4460|4418|4420|4336|4387|4423|4411|4437|4341|4456|4465|4431|4346|4302|4309|4301|4407|4330|4375|4326|4436|4444|4397|4307|4378|4382|4443|4379|4315|4304|4459|4351|4380|4372|4433|4435|4324|4391|4332|4439|4449|4362|4376|4394","","KW-0732","0"
"2951","41","UniProt Keywords","","Disease mutation","2.55E-5","TNFRSF1A|CETP|F9|EHHADH|APOA1|CFP|DMGDH|LRPPRC|KLKB1|FTCD|UBTF|FGB|SLC25A20|COLEC10|HBB|UBA1|GANAB|ADAMTSL2|FMO3|ADAR|ECM1|PHGDH|CPN1|PGM1|ASS1|XDH|SQSTM1|PRKAR1A|DBH|PROS1|GNE|MCFD2|COLEC11|IGFALS|PUF60|C1R|AKT1|LDLR|GDF2|HAMP|GHR","17100","4420|4336|4423|4425|4411|4341|4300|4458|4465|4392|4398|4407|4448|4436|4386|4373|4444|4397|4455|4388|4382|4400|4443|4406|4457|4450|4329|4322|4389|4304|4334|4380|4433|4324|4447|4439|4312|4449|4362|4376|4394","","KW-0225","0"
"557","16","UniProt Keywords","","Oxidoreductase","2.64E-5","HMOX1|CYP26A1|EHHADH|CAT|DMGDH|LDHD|CYP1A2|FMO3|PHGDH|CYP2C8|CYP4A22|AKR1A1|XDH|DBH|ADH1C|HAO2","17100","4352|4366|4425|4426|4300|4350|4371|4455|4400|4368|4384|4410|4450|4389|4438|4357","","KW-0560","0"
"73","7","UniProt Keywords","","Sterol metabolism","2.64E-5","CETP|APOA1|CYP1A2|IDI1|HDLBP|APOF|LDLR","17100","4336|4411|4371|4335|4305|4351|4449","","KW-1207","0"
"6","4","Reactome Pathways","","Lectin pathway of complement activation","3.1E-5","FCN3|FCN2|COLEC10|COLEC11","17100","4302|4301|4436|4433","","HSA-166662","0"
"67","7","Reactome Pathways","","Plasma lipoprotein assembly, remodeling, and clearance","3.56E-5","CETP|APOA1|LPA|HDLBP|APOF|LDLR|LSR","17100","4336|4411|4326|4305|4351|4449|4412","","HSA-174824","0"
"113","9","GO Process","","drug catabolic process","3.6E-5","CAT|HBA2|SDS|HBB|CYP1A2|CPN1|CYP2C8|DBH|AADAT","17100","4426|4413|4314|4386|4371|4443|4368|4389|4453","","GO.0042737","0"
"491","16","GO Process","","response to inorganic substance","4.08E-5","HMOX1|CAT|HBA2|CRHBP|AVPR1A|FGB|FOS|MT1E|CALR|HBB|CYP1A2|ASS1|SEC31A|AKT1|TXNIP|HAMP","17100","4352|4426|4413|4309|4414|4407|4415|4333|4375|4386|4371|4457|4358|4312|4323|4376","","GO.0010035","0"
"622","18","GO Process","","drug metabolic process","4.08E-5","DCN|CAT|HBA2|SDS|FTCD|HBB|CYP1A2|GUK1|PHGDH|CPN1|PGM1|CYP2C8|DBH|GNE|AADAT|ADH1C|AKT1|GHR","17100","4418|4426|4413|4314|4392|4386|4371|4396|4400|4443|4406|4368|4389|4334|4453|4438|4312|4394","","GO.0017144","0"
"2668","40","GO Process","","regulation of protein metabolic process","4.08E-5","CD4|DCN|TNFRSF1A|HMOX1|APOA1|RAMP3|CFP|LRPPRC|BTBD1|KLKB1|HPX|BAX|FGB|CALR|LPA|SOCS3|IFI6|CNDP1|HLA-DRB1|ADAR|ECM1|DUSP5|CPN1|STK40|YTHDF2|XDH|IGFBP3|SQSTM1|PRKAR1A|PROS1|PLXNB2|ITIH3|C1R|AKT1|LDLR|GDF2|ZFP36|FPR1|HAMP|GHR","17100","4460|4418|4420|4352|4411|4437|4341|4458|4349|4465|4346|4463|4407|4375|4326|4345|4442|4307|4378|4388|4382|4409|4443|4430|4452|4450|4315|4329|4322|4304|4372|4435|4439|4312|4449|4362|4310|4339|4376|4394","","GO.0051246","0"
"120","8","UniProt Keywords","","Heme","4.65E-5","HMOX1|CYP26A1|CAT|HPX|HBB|CYP1A2|CYP2C8|CYP4A22","17100","4352|4366|4426|4346|4386|4371|4368|4384","","KW-0349","0"
"481","16","GO Function","","cofactor binding","4.84E-5","HMOX1|CYP26A1|CAT|HBA2|SDS|LDHD|HBB|CYP1A2|FMO3|PHGDH|CYP2C8|CYP4A22|XDH|DBH|AADAT|HAO2","17100","4352|4366|4426|4413|4314|4350|4386|4371|4455|4400|4368|4384|4450|4389|4453|4357","","GO.0048037","0"
"1391","27","GO Process","","regulation of immune system process","5.12E-5","CD4|HMOX1|APOA1|CFP|HPX|FCN3|FCN2|BAX|FGB|FOS|CALR|SOCS3|COLEC10|HLA-DRB1|ADAR|ECM1|CPN1|YTHDF2|PRKAR1A|PROS1|COLEC11|CXCL2|C1R|AKT1|LDLR|ZFP36|FPR1","17100","4460|4352|4411|4341|4346|4302|4301|4463|4407|4415|4375|4345|4436|4378|4388|4382|4443|4452|4322|4304|4433|4391|4439|4312|4449|4310|4339","","GO.0002682","0"
"1779","31","GO Process","","small molecule metabolic process","5.12E-5","DCN|TNFRSF1A|CETP|CYP26A1|EHHADH|APOA1|CAT|LYVE1|SDS|FTCD|CES2|CYP1A2|GUK1|PHGDH|PGM1|CYP2C8|AKR1A1|ASS1|XDH|IDI1|HDLBP|DBH|GNE|APOF|ITIH3|AADAT|ADH1C|AKT1|LDLR|GHR|HAO2","17100","4418|4420|4336|4366|4425|4411|4426|4456|4314|4392|4330|4371|4396|4400|4406|4368|4410|4457|4450|4335|4305|4389|4334|4351|4435|4453|4438|4312|4449|4394|4357","","GO.0044281","0"
"1234","25","GO Process","","defense response","5.83E-5","CD4|TNFRSF1A|HMOX1|CFP|KLKB1|FCN3|CRHBP|FCN2|CLEC1B|FGB|FOS|ZYX|COLEC10|IFI6|HLA-DRB1|ADAR|ECM1|ASS1|PLAC8|COLEC11|CXCL2|C1R|AKT1|FPR1|HAMP","17100","4460|4420|4352|4341|4465|4302|4309|4301|4402|4407|4415|4462|4436|4442|4378|4388|4382|4457|4342|4433|4391|4439|4312|4339|4376","","GO.0006952","0"
"1699","30","GO Process","","vesicle-mediated transport","5.83E-5","F9|APOA1|CAT|RAMP3|CFP|HBA2|HPX|FCN3|CRHBP|FCN2|ANPEP|FGB|TLN1|CALR|HBB|ECM1|PGM1|CAP1|SRPX|SQSTM1|PROS1|SEC31A|MCFD2|PLAC8|COLEC11|ITIH3|LDLR|FPR1|TRAPPC3|GHR","17100","4423|4411|4426|4437|4341|4413|4346|4302|4309|4301|4311|4407|4328|4375|4386|4382|4406|4408|4379|4329|4304|4358|4380|4342|4433|4435|4449|4339|4359|4394","","GO.0016192","0"
"4347","51","GO Component","","endomembrane system","6.77E-5","CD4|DCN|TNFRSF1A|HMOX1|OXT|F9|CYP26A1|APOA1|CAT|RNF11|CFP|LRPPRC|CERS2|CRHBP|PLIN2|FTCD|BAX|AVPR1A|ANPEP|FGB|FOS|CES2|CALR|COLEC10|HBB|GANAB|CYP1A2|HLA-DRB1|FMO3|ECM1|APH1A|CPN1|PGM1|CYP2C8|CYP4A22|ASS1|CAP1|RND3|SRPX|XDH|IGFBP3|SQSTM1|DBH|PROS1|SEC31A|MCFD2|PLAC8|ITIH3|LDLR|FPR1|TRAPPC3","17100","4460|4418|4420|4352|4387|4423|4366|4411|4426|4381|4341|4458|4432|4309|4428|4392|4463|4414|4311|4407|4415|4330|4375|4436|4386|4444|4371|4378|4455|4382|4343|4443|4406|4368|4384|4457|4408|4390|4379|4450|4315|4329|4389|4304|4358|4380|4342|4435|4449|4339|4359","","GO.0012505","0"
"339","13","GO Process","","response to metal ion","7.58E-5","HMOX1|CAT|CRHBP|FGB|FOS|MT1E|CALR|CYP1A2|ASS1|SEC31A|AKT1|TXNIP|HAMP","17100","4352|4426|4309|4407|4415|4333|4375|4371|4457|4358|4312|4323|4376","","GO.0010038","0"
"2032","32","Reactome Pathways","","Metabolism","7.59E-5","DCN|HMOX1|CYP26A1|EHHADH|APOA1|DMGDH|LYVE1|SDS|LRPPRC|CERS2|PLIN2|FTCD|CES2|SLC25A20|CYP1A2|GUK1|FMO3|PHGDH|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|XDH|IDI1|PRKAR1A|DBH|AADAT|ADH1C|AKT1|LDLR|HAO2","17100","4418|4352|4366|4425|4411|4300|4456|4314|4458|4432|4428|4392|4330|4448|4371|4396|4455|4400|4406|4368|4384|4410|4457|4450|4335|4322|4389|4453|4438|4312|4449|4357","","HSA-1430728","0"
"11238","96","GO Component","","cytoplasm","8.27E-5","CD4|DCN|TNFRSF1A|HMOX1|OXT|F9|CYP26A1|EHHADH|APOA1|CAT|RAMP3|RNF11|CFP|HBA2|DMGDH|SDS|LRPPRC|BTBD1|HPX|CERS2|CRHBP|PLIN2|FTCD|BAX|LAPTM5|AVPR1A|LDHD|ANPEP|FGB|FOS|MT1E|RND1|TLN1|CES2|CALR|ZYX|SLC25A20|SOCS3|COLEC10|HBB|UBA1|GANAB|CYP1A2|IFI6|CNDP1|HLA-DRB1|ETS2|MRPL24|GUK1|FMO3|ADAR|MRPL9|ECM1|APH1A|PHGDH|CPN1|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|PRKAR1A|DBH|PROS1|SEC31A|GNE|MCFD2|PLAC8|DNAJC7|MBD3|ITIH3|AADAT|ADH1C|AKT1|LDLR|TXNIP|POLRMT|ZFP36|FPR1|HAMP|TRAPPC3|SRRT|GHR|HAO2","17100","4460|4418|4420|4352|4387|4423|4366|4425|4411|4426|4437|4381|4341|4413|4300|4314|4458|4349|4346|4432|4309|4428|4392|4463|4454|4414|4350|4311|4407|4415|4333|4393|4328|4330|4375|4462|4448|4345|4436|4386|4373|4444|4371|4442|4307|4378|4308|4363|4396|4455|4388|4401|4382|4343|4400|4443|4406|4368|4384|4410|4457|4408|4430|4354|4452|4390|4370|4379|4450|4315|4335|4329|4305|4322|4389|4304|4358|4334|4380|4342|4424|4451|4435|4453|4438|4312|4449|4323|4317|4310|4339|4376|4359|4440|4394|4357","","GO.0005737","0"
"2815","40","GO Process","","response to organic substance","8.5E-5","CD4|DCN|TNFRSF1A|HMOX1|OXT|CYP26A1|CAT|RAMP3|CRHBP|PLIN2|BAX|LAPTM5|AVPR1A|FGB|FOS|TLN1|CALR|ZYX|SOCS3|CYP1A2|IFI6|HLA-DRB1|ADAR|CPN1|ASS1|SQSTM1|PRKAR1A|DBH|SEC31A|MBD3|CXCL2|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4387|4366|4426|4437|4309|4428|4463|4454|4414|4407|4415|4328|4375|4462|4345|4371|4442|4378|4388|4443|4457|4329|4322|4389|4358|4451|4391|4312|4449|4323|4362|4310|4339|4376|4440|4394","","GO.0010033","0"
"1859","31","GO Process","","catabolic process","9.19E-5","DCN|HMOX1|CYP26A1|EHHADH|APOA1|CAT|RNF11|HBA2|DMGDH|LYVE1|SDS|BTBD1|FTCD|ANPEP|CES2|HBB|UBA1|CYP1A2|CPN1|PGM1|CYP2C8|AKR1A1|SRPX|XDH|SQSTM1|DBH|AADAT|AKT1|LDLR|ZFP36|HAO2","17100","4418|4352|4366|4425|4411|4426|4381|4413|4300|4456|4314|4349|4392|4311|4330|4386|4373|4371|4443|4406|4368|4410|4379|4450|4329|4389|4453|4312|4449|4310|4357","","GO.0009056","0"
"854","20","GO Process","","carboxylic acid metabolic process","9.7E-5","DCN|TNFRSF1A|CYP26A1|EHHADH|LYVE1|SDS|FTCD|CES2|CYP1A2|PHGDH|PGM1|CYP2C8|AKR1A1|ASS1|GNE|ITIH3|AADAT|AKT1|GHR|HAO2","17100","4418|4420|4366|4425|4456|4314|4392|4330|4371|4400|4406|4368|4410|4457|4334|4435|4453|4312|4394|4357","","GO.0019752","0"
"7824","77","GO Process","","response to stimulus","1.0E-4","CD4|DCN|TNFRSF1A|HMOX1|OXT|F9|CYP26A1|APOA1|CAT|RAMP3|CFP|HBA2|LYVE1|KLKB1|ITGA9|FCN3|CRHBP|PLIN2|FCN2|BAX|LAPTM5|CLEC1B|AVPR1A|ANPEP|FGB|FOS|MT1E|RND1|TLN1|CES2|CALR|ZYX|SOCS3|COLEC10|HBB|UBA1|CYP1A2|IFI6|HLA-DRB1|FMO3|ADAR|ECM1|APH1A|PHGDH|DUSP5|CPN1|PGM1|CYP2C8|ASS1|CAP1|YTHDF2|RND3|TDP2|SRPX|SQSTM1|PRKAR1A|DBH|PROS1|SEC31A|MFAP4|PLAC8|PLXNB2|COLEC11|MBD3|IGFALS|CXCL2|LY6E|C1R|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4387|4423|4366|4411|4426|4437|4341|4413|4456|4465|4431|4302|4309|4428|4301|4463|4454|4402|4414|4311|4407|4415|4333|4393|4328|4330|4375|4462|4345|4436|4386|4373|4371|4442|4378|4455|4388|4382|4343|4400|4409|4443|4406|4368|4457|4408|4452|4390|4370|4379|4329|4322|4389|4304|4358|4459|4342|4372|4433|4451|4324|4391|4332|4439|4312|4449|4323|4362|4310|4339|4376|4440|4394","","GO.0050896","0"
"14","4","GO Component","","low-density lipoprotein particle","1.2E-4","APOA1|APOF|LDLR|LSR","17100","4411|4351|4449|4412","","GO.0034362","0"
"63","6","UniProt Keywords","","Cholesterol metabolism","1.2E-4","CETP|APOA1|IDI1|HDLBP|APOF|LDLR","17100","4336|4411|4335|4305|4351|4449","","KW-0153","0"
"252","11","GO Process","","humoral immune response","1.2E-4","CFP|FCN3|FCN2|FGB|COLEC10|HLA-DRB1|YTHDF2|COLEC11|CXCL2|C1R|HAMP","17100","4341|4302|4301|4407|4436|4378|4452|4433|4391|4439|4376","","GO.0006959","0"
"873","20","GO Process","","response to organic cyclic compound","1.2E-4","CD4|OXT|CAT|RAMP3|CRHBP|PLIN2|AVPR1A|FOS|CALR|CYP1A2|ADAR|CPN1|ASS1|MBD3|AKT1|TXNIP|ZFP36|HAMP|SRRT|GHR","17100","4460|4387|4426|4437|4309|4428|4414|4415|4375|4371|4388|4443|4457|4451|4312|4323|4310|4376|4440|4394","","GO.0014070","0"
